id,name,chineseName,time,date,location,chineseLocation,image,signupLink,description,chineseDescription,status
1,RBC Brooklyn Half Course Preview Run,布鲁克林半马探路跑,8:00 AM,2025-05-03,Brooklyn,布鲁克林,images/2025/20250503_bk_half_preview_run.jpg, signupLink,"Join us for a preview run of the Brooklyn Half Marathon course. Experience the route and prepare for race day.","加入我们的布鲁克林半程马拉松探路跑。体验赛道并为比赛日做好准备。",Highlight
2,Brooklyn Half Marathon,布鲁克林半程马拉松,7:00 AM,2025-05-17,Brooklyn,布鲁克林,images/2025/20250517_bk_half.jpg,signupLink,"✨3.5/6.8mile 点: 📸摄影师: @曉哥XiaoYang https://photos.app.goo.gl/gDdA9C71nEhnFhGx5

11mile 点照片： 📸摄影师: @可非Laura https://photos.app.goo.gl/o5xkBFFCmQcoTf8M9

8mile 啦啦点及其他合影记录: 📸摄影师: 小雪、鲸鱼等 https://photos.app.goo.gl/vim5b7A6M7AZ4sqL8","",Highlight
3,NewBee 9th Anniversary Run,新蜂九周年跑,6:30 PM,2025-06-04,Central Park,中央公园,images/2025/20250604_9th_anniversary_run.jpg,signupLink,"感谢各位参与新蜂的九周年团跑 x Global Running Day活动，你们的到来就是对我们最好的支持和鼓励！

我们也深知还有很多地方可以继续改进，尤其是对一些新来的朋友们，可能没有照顾得很周到。期待未来，大家能更多地参与和支持新蜂的活动，一起把它变得更好！

这次活动能够顺利举办，离不开每一位义工和pacer的辛勤付出。按照惯例，请允许我先向大家介绍一下所有的义工和pacer（以下每位同学都承担了不止一个职责，这里做个简要汇总）：

1️⃣ 跑前运送物资：田硕及家属、Brandon及家属、57P、瓜庆、六六、JJJ、木木、688
2️⃣ 起点引导 Course Marshall：嘉宏、688
3️⃣ 存包义工：刘小虎、木木
4️⃣ 跑后物资发放：可非、刘小虎、瓜庆、57P
5️⃣ 终点冲线 Banner：嘉宏、688
6️⃣ 中途移动啦啦/摄影队：念念、也子、Brandon、JJJ、木木、瓜庆
7️⃣ 📸摄影组：肉肉、佳成、木木（相册链接会在今天稍后更新）

另外，也要感谢这次的Pacer们，包括但不限于：

入门组的 @Shumeng @田硕

新手组的 @月姐 @六六 @Lin @Lillie @xycfhack

进阶组的 @Florence @黑酱 @Ceethoven @Angela @大葱 @Jinling

闪电/飞行组的互相pace的辣堡们

特别感谢一些朋友特意从单程两小时开外赶来参加的新老朋友们，以及蜂二代们的热情捧场。

特别鸣谢：

Pacer 牌子是Brandon（大概率还有家属）亲手制作的，特别用心！

蛋糕由57P亲手制作，这次的活动物资也主要由她和家属精心准备。

大合照也已经上传了，并不一定按照时间顺序，大家可以耐心看下
https://photos.app.goo.gl/CymkoefE5qGzUt1e8","",Highlight
4,Queens 10K Challenge,皇后区10公里挑战赛,8:30 AM,2025-06-20,Queens,皇后区,images/2025/20250620_queens_10k.jpg,signupLink,"Challenge yourself in the Queens 10K featuring a scenic route through Flushing Meadows Corona Park and surrounding neighborhoods.","在皇后区10公里挑战赛中挑战自我. 路线将穿过法拉盛草地公园和周边社区。",Upcoming
5,NYRR Team Championship,NYRR团队锦标赛,8:00 AM,2025-07-27,Central Park,中央公园,images/2025/20250727_team_champ.jpg,signupLink,"Join the NYRR Team Championship for a competitive 10K race in Central Park.","参加NYRR团队锦标赛，在中央公园进行一场激烈的10公里比赛。",Upcoming
